solar da,solar ac
10.38765049,4.13195866
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.557799798,0.414511776
26.91548513,12.46020938
63.7602453,38.86248945
92.74682719,64.09287821
106.9279549,78.44141901
114.3511517,88.94019083
106.9981368,88.02343992
88.64995948,73.9059145
55.63011221,40.39186976
13.94426388,8.053371655
0,0.000731061
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.897012257,1.023485868
31.69223989,22.11826066
68.98221641,59.33074468
107.6144215,93.28415727
122.9586679,110.5898412
127.262426,115.8629866
121.494352,101.8317264
104.5827102,77.65625914
67.37388148,42.48270518
18.05502176,9.815960531
0,0.004386368
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.1287587,1.356849836
33.03519956,26.28604132
68.67955702,70.44360802
99.78621678,106.69036
117.3872495,125.12992
124.46173,131.7021614
112.8181161,121.4811929
91.5668942,96.46866044
58.72177059,52.13344585
16.25368664,11.01855643
0,0.005117429
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.027141174,2.372294029
22.41945793,29.09770321
57.20481832,74.18079356
90.54925682,106.6655039
103.0379776,132.733689
101.9084878,121.2867306
92.40395943,100.9274035
70.7937864,72.53298131
39.18415644,39.85088438
9.373668424,8.410860647
0,0.012428043
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.345792011,0.012428043
4.381250574,5.308967407
12.3330047,11.4878978
19.15819332,18.8730794
23.42539832,34.68959136
24.07604291,39.02186082
22.19721528,29.98374955
18.51559041,19.84319779
11.60413655,9.820346899
2.77876413,4.35127706
0,0.161564555
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.617838732,1.91830494
28.35567596,30.83031858
60.81845449,70.45091863
85.94868785,120.1996424
96.93873288,135.1885929
94.30983633,117.5583178
79.26093877,84.21680355
56.25005222,51.40019133
33.0929534,43.61804343
9.041035517,12.38271687
0,0.010234859
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.192361036,2.233392375
16.01682277,26.00750696
34.55653819,57.12220839
46.89246714,80.3663035
52.85134808,96.62876288
52.82795411,94.45093116
52.10566552,94.54962444
46.83690648,67.57784759
33.42339313,36.17510799
10.1946503,10.6881167
0.007310613,0.008772736
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1.621494039,1.671937271
19.98648581,20.81989573
37.64088596,38.14239404
47.00285741,73.40733067
47.30770998,102.8837237
42.20709505,46.00934505
35.84466827,28.33520624
25.83059011,17.84593822
13.45518385,8.574618386
3.061684867,3.202779704
0.006579552,0.344329888
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2.697616322,3.384813976
31.11762568,29.61456358
56.72231784,70.36757764
72.72159513,90.25390805
81.50675918,109.2388398
82.28460844,116.6130555
78.36173333,106.8526556
66.11353174,89.96806306
43.30076281,49.16387471
14.46989698,14.85004888
0.067257643,0.024856085
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4.152428377,3.903867523
40.66601776,40.14769528
77.36748991,104.6207254
107.5106108,144.701163
122.4198757,170.0580254
128.0190744,166.6176507
115.4294672,155.381238
99.13264795,113.6712647
68.20363609,70.20966839
24.17692938,20.85717986
0.160833493,0.092844789
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7.637397756,9.391944957
44.23432813,48.82758649
78.91441569,102.9721821
109.7213403,148.5926025
126.4889631,178.7079431
128.6755675,189.71992
119.4905129,175.3319018
99.371705,142.4341418
67.72113561,83.1816207
25.59884367,20.27379291
1.193823158,0.105272832
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4.623231876,2.596729858
36.28988462,19.43380344
69.23735682,40.67990793
96.36484974,80.67188714
107.3117622,110.1409695
100.1546717,105.1427032
87.04674197,100.3593689
68.95004971,70.12559634
42.86358813,39.01747445
15.63593981,12.42877374
0.23028432,0.133053163
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4.670019801,3.588049027
29.49905589,23.92252003
55.86916926,64.11992748
81.1434217,115.7518653
94.72507916,144.6938524
100.1904937,160.5505727
97.50896072,154.4527901
83.11070775,125.0136813
56.21934764,81.24796347
22.95971225,24.23833853
0.641871851,1.32102783
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
8.31947798,7.730242545
47.73757405,55.09863062
93.59924471,122.5609705
128.2924914,168.2515728
142.7448429,192.6134607
145.2129059,197.6884885
134.9787783,180.5107403
108.8382182,145.2940538
70.44214589,86.79452581
29.58020369,27.13992096
1.057114689,0.372110219
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
9.93585459,12.55524735
47.08546734,49.3473711
87.66960623,106.4191363
118.7938115,132.7154124
125.7089206,139.8425294
117.2110637,131.196267
99.93169798,102.0239955
74.2290436,69.21542498
44.99755617,26.69397355
19.4250307,7.351552774
0.824637185,0.273416939
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
10.46368087,4.232845124
45.86240172,37.71691634
89.95636608,109.3338778
123.5245094,156.7000727
143.0650477,178.3321776
148.8974551,171.1180643
143.3925632,167.6535647
116.9493437,143.1418092
78.25207413,94.96121197
33.60835164,31.73683463
1.864937463,1.787444962
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
10.19903667,4.11002682
39.26822849,21.38061977
69.21250073,38.52839442
95.6432922,57.68585668
119.9021004,91.8958718
132.806064,111.7054408
131.6765743,119.8633542
110.0978369,113.7370602
74.53097194,87.84871626
34.08354151,32.90945701
2.188797634,2.13177485
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7.980996583,12.37540626
48.10091153,65.51259932
93.16280109,131.7942752
128.3692528,174.1695143
151.1228058,193.5886965
157.7922783,207.3092557
150.2572292,192.8722564
124.5297187,158.1797408
83.58224231,102.542318
37.85801118,35.35120186
2.7509838,2.275062871
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
12.13927345,5.799509562
51.51643008,25.39926393
97.45486218,53.97718253
135.0453049,103.1388641
158.68198,172.723475
169.9761465,209.8913643
162.0682561,196.0560285
133.2900267,160.4072847
89.20849034,104.6463125
40.61922984,37.06261645
3.368730627,2.809468706
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
21.1437559,15.64690573
70.39755115,75.83737854
126.4721487,137.9571222
172.2387813,180.029702
195.3520165,200.519158
200.280832,204.440571
185.8102039,190.0196551
151.7844163,155.8849393
100.6276684,101.3463017
45.23953747,35.66117187
4.114413188,2.65229052
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
16.55049754,12.8586378
53.15766278,51.94044565
93.09335027,101.9874425
123.9828848,144.3758407
139.1026953,168.2398758
142.3500698,172.4383611
132.8784391,152.1536023
108.4280928,115.9346306
72.5709965,69.08310287
33.42558631,27.01052311
3.406745816,1.832039703
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5.320664389,2.670567053
16.6192173,8.64260709
26.1200904,11.33071962
31.60743677,15.10884459
32.44596412,17.37147942
31.35156531,18.0089649
28.86376359,14.89537468
24.55415702,12.37613732
17.89711252,8.709864733
8.827565608,7.668833393
1.284474764,0.973042635
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
14.80252989,19.98648581
50.30579251,84.19267853
94.62931013,147.335177
137.430027,187.1772886
165.5035133,198.0298941
176.9351194,219.8235636
169.9958852,207.4123353
141.398959,173.2023202
95.80851206,117.8858333
45.25927612,47.52264201
5.682539749,4.42292107
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
29.29728296,23.28137924
84.20876187,93.29950956
140.9844472,156.2373109
181.8792872,200.5418209
201.579928,221.8471413
202.8446641,219.6992831
187.9785319,210.0097962
155.1582643,173.1416421
105.8306319,119.9423088
50.01556116,47.93422954
6.848582577,5.15690665
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.028511392,0.012428043
27.0068678,21.05968385
75.18307865,80.10970098
123.901737,135.1739717
158.2499227,167.0314315
166.8281964,178.9608903
157.7549942,181.7564688
139.5267109,176.0900124
110.8786104,138.5968009
75.12093843,95.78146279
37.26000301,44.01427867
5.662070031,4.960251151
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.089920544,0.046787925
22.33246163,18.40666227
59.60123737,67.41701409
92.80165679,133.461095
114.6728187,180.8353316
118.8771525,204.6211431
115.1231525,204.6350333
106.7166782,188.7490705
88.98478557,146.2766002
60.57281789,84.97345203
30.88441711,32.75593413
5.213929434,3.846844739
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.051905355,0
7.446590748,5.718361754
20.79942601,16.62945216
34.17273099,33.66683655
44.03767263,40.01537318
48.34947238,42.5806674
52.41271128,50.15226963
56.36848415,44.26064634
53.95086432,35.61438395
42.40448161,30.22938616
23.7624176,16.11405392
4.574250767,3.552227022
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.290962411,0.005848491
17.24646793,9.183592477
43.72404732,25.94902205
66.6113845,61.14889422
75.16918848,84.50264853
71.80703741,123.1333915
67.0010402,116.4229796
